0;0;0.001;0
0;100;0.002;0.00113636
1;33.334;0.003;0.00151516
1;40;0.004;0.0019697
0;106.666;0.005;0.00318182
0;100;0.006;0.00431818
1;33.334;0.007;0.00469698
1;40;0.008;0.00515152
0;106.666;0.009;0.00636364
0;100;0.01;0.0075
1;33.334;0.011;0.0078788
1;40;0.012;0.00833334
0;106.666;0.013;0.00954546
0;100;0.014;0.0106818
1;33.334;0.015;0.0110606
1;40;0.016;0.0115152
0;106.666;0.017;0.0127273
0;100;0.018;0.0138636
1;33.334;0.019;0.0142424
1;40;0.02;0.014697
0;106.666;0.021;0.0159091
0;100;0.022;0.0170455
1;33.334;0.023;0.0174243
1;40;0.024;0.0178788
0;106.666;0.025;0.0190909
0;100;0.026;0.0202273
1;33.334;0.027;0.0206061
1;40;0.028;0.0210606
0;106.666;0.029;0.0222727
0;100;0.03;0.0234091
1;33.334;0.031;0.0237879
1;40;0.032;0.0242424
0;106.666;0.033;0.0254545
0;100;0.034;0.0265909
1;33.334;0.035;0.0269697
1;40;0.036;0.0274242
0;106.666;0.037;0.0286364
0;100;0.038;0.0297727
1;33.334;0.039;0.0301515
1;40;0.04;0.0306061
0;106.666;0.041;0.0318182
0;100;0.042;0.0329545
1;33.334;0.043;0.0333333
1;40;0.044;0.0337879
0;106.666;0.045;0.035
0;100;0.046;0.0361364
1;33.334;0.047;0.0365152
1;40;0.048;0.0369697
0;106.666;0.049;0.0381818
0;100;0.05;0.0393182
1;33.334;0.051;0.039697
1;40;0.052;0.0401515
0;106.666;0.053;0.0413636
0;100;0.054;0.0425
1;33.334;0.055;0.0428788
1;40;0.056;0.0433333
0;106.666;0.057;0.0445455
0;100;0.058;0.0456818
1;33.334;0.059;0.0460606
1;40;0.06;0.0465152
0;106.666;0.061;0.0477273
0;100;0.062;0.0488636
1;33.334;0.0629999;0.0492424
1;40;0.064;0.049697
0;106.666;0.065;0.0509091
0;100;0.066;0.0520454
1;33.334;0.067;0.0524242
1;40;0.068;0.0528788
0;106.666;0.069;0.0540909
0;100;0.07;0.0552273
1;33.334;0.071;0.0556061
1;40;0.072;0.0560606
0;106.666;0.073;0.0572727
0;100;0.074;0.0584091
1;33.334;0.075;0.0587879
1;40;0.076;0.0592424
0;106.666;0.077;0.0604545
0;100;0.078;0.0615909
1;33.334;0.079;0.0619697
1;40;0.08;0.0624242
0;106.666;0.081;0.0636363
0;100;0.082;0.0647727
1;33.334;0.083;0.0651515
1;40;0.084;0.0656061
0;106.666;0.085;0.0668182
0;100;0.086;0.0679545
1;33.334;0.087;0.0683333
1;40;0.088;0.0687879
0;106.666;0.089;0.07
0;100;0.09;0.0711363
1;33.334;0.091;0.0715151
1;40;0.092;0.0719697
0;106.666;0.093;0.0731818
0;100;0.094;0.0743182
1;33.334;0.095;0.074697
1;40;0.096;0.0751515
0;106.666;0.097;0.0763636
0;100;0.098;0.0775
1;33.334;0.099;0.0778788
1;40;0.1;0.0783333
0;106.666;0.101;0.0795454
0;100;0.102;0.0806818
1;33.334;0.103;0.0810606
1;40;0.104;0.0815151
0;106.666;0.105;0.0827272
0;100;0.106;0.0838636
1;33.334;0.107;0.0842424
1;40;0.108;0.0846969
0;106.666;0.109;0.0859091
0;100;0.11;0.0870454
1;33.334;0.111;0.0874242
1;40;0.112;0.0878788
0;106.666;0.113;0.0890909
0;100;0.114;0.0902272
1;33.334;0.115;0.090606
1;40;0.116;0.0910606
0;106.666;0.117;0.0922727
0;100;0.118;0.0934091
1;33.334;0.119;0.0937878
1;40;0.12;0.0942424
0;106.666;0.121;0.0954545
0;100;0.122;0.0965909
1;33.334;0.123;0.0969697
1;40;0.124;0.0974242
0;106.666;0.125;0.0986363
0;100;0.126;0.0997727
1;33.334;0.127;0.100151
